Site,Plot,subplot,Point,Species,Height.cm,Num_LVS,In_FLWR,Num_CLONES,Notes
5,3,1,6,H,2.5,7,N,3,
5,3,1,16,H,3.2,4,N,0,
5,3,2,16,H,4.2,10,N,0,
5,3,2,17,H,15,5,Y,0,
5,3,3,1,H,1.2,3,N,0,
5,3,3,15,H,0.5,3,N,0,
5,3,3,16,H,1.2,4,N,0,
5,3,4,16,H,1.6,4,N,0,
5,4,1,1,H,4,6,N,2,
5,4,1,16,H,1.8,6,N,2,
5,4,2,16,H,1.4,4,N,2,
5,4,4,6,H,1,6,N,0,
5,5,1,11,H,2.7,4,N,2,
5,5,2,11,H,1.7,6,N,2,
5,5,2,11,H,2.5,4,N,0,
5,5,3,6,H,2.5,4,N,4,
5,5,3,11,H,2.5,6,N,3,
5,5,3,16,H,4.6,8,N,2,
5,5,3,17,H,3.5,5,N,2,
5,5,4,11,H,1,4,N,0,
5,6,1,1,H,1.3,4,N,2,
5,6,1,11,H,2.9,4,N,3,
5,6,1,16,H,2.5,4,N,4,
5,6,3,1,H,2.2,5,N,0,
5,6,3,2,H,0.9,4,N,0,
5,6,3,6,H,2.2,6,N,0,
5,6,3,11,H,2,6,N,0,
5,6,2,1,H,1.8,6,N,3,
5,6,2,6,H,3,7,N,3,
5,6,2,11,H,4.2,6,N,0,
5,6,2,13,H,4.2,3,N,0,
5,6,2,14,H,3.4,3,N,0,
5,6,2,0,H,4,4,N,2,
5,6,4,1,H,1.8,4,N,0,
5,6,4,6,H,2,3,N,0,
5,6,4,7,H,1.5,3,N,3,
5,6,4,12,H,2,3,N,2,
5,6,4,15,H,2.7,4,N,0,
5,6,4,16,H,1.8,6,N,2,
5,8,1,11,H,2.7,3,N,2,
5,8,1,12,H,5,5,N,2,
5,8,1,16,H,10.2,6,Y,8,
5,8,3,1,H,1.5,3,N,5,
5,8,3,3,H,1.7,7,N,0,
5,8,3,6,H,3,5,N,3,
5,8,3,11,H,5.7,6,N,2,
5,8,3,16,H,4.2,6,N,4,
5,8,2,11,H,5,4,N,0,
5,9,1,16,H,0.7,3,N,2,
5,9,2,6,H,0.5,2,N,0,
5,9,2,11,H,1.3,3,N,3,
5,9,2,16,H,3,4,N,0,
5,9,3,11,H,3.1,3,N,0,
5,9,4,1,H,1.7,3,N,3,
5,9,4,4,H,2.5,3,N,0,
5,9,4,6,H,1.5,3,N,3,
5,9,4,11,H,1.5,3,N,3,
5,9,4,16,H,2.7,8,N,0,
5,10,1,16,H,1.2,5,N,3,
5,10,4,11,H,0.5,3,N,0,
11N,4,1,16,H,5,9,N,0,
11N,4,3,11,H,5.9,7,N,0,
11N,4,4,1,H,7.3,6,N,0,
11N,4,4,8,H,3.9,7,Y,0,
8S,9,1,11,H,5.2,7,N,0,
8N,3,4,16,H,4.2,6,N,0,
3S,7,2,16,H,2.1,4,N,0,
3S,10,1,1,H,3.2,5,N,2,
3S,10,2,1,H,3.1,6,N,2,
3S,10,2,16,H,4.2,6,N,0,
3S,10,4,6,H,2.1,4,N,0,
3S,6,3,11,H,5.6,5,N,2,
6S,10,2,16,H,5.5,5,N,0,
6S,10,4,6,H,9.1,8,N,2,
6S,10,4,11,H,8.7,9,N,2,
6S,8,2,6,H,6.8,5,N,2,
6N,2,1,1,H,7.5,5,N,0,
6N,2,3,6,H,2,3,N,0,
6N,2,4,1,H,1.9,3,N,2,
6N,2,4,16,H,2.3,5,N,2,
6N,1,1,16,H,8,6,N,2,
6N,1,3,1,H,9.1,8,N,3,
6N,1,3,4,H,7.2,6,N,0,
6N,1,3,16,H,2.1,5,Y,0,
6N,5,1,15,H,3.6,6,N,0,
7N,8,4,5,H,6.5,7,N,0,
7N,6,4,11,H,2.8,3,N,2,
7N,3,3,1,H,5,3,N,0,
7N,4,2,6,H,3.5,4,N,2,
7N,4,1,16,H,3,3,N,3,
7N,4,4,6,H,2.7,3,N,2,
7N,4,4,16,H,2,3,N,3,
